Location,Year,Gender,Position,Athlete,Nationality,Time,Place,Position[27][28],Position[29][28]
Berlin,2013,Men,1,Wilson Kipsang,Kenya,2:03:23,,,
Berlin,2013,Men,2,Eliud Kipchoge,Kenya,2:04:05,,,
Berlin,2013,Men,3,Geoffrey Kipsang,Kenya,2:06:26,,,
Berlin,2013,Men,4,Stephen Kwelio Chemlany,Kenya,2:07:44,,,
Berlin,2013,Men,5,Maswai Kiptanui,Kenya,2:08:52,,,
Berlin,2013,Men,6,Marílson Gomes dos Santos,Brazil,2:09:24,,,
Berlin,2013,Men,7,Suehiro Ishikawa,Japan,2:10:24,,,
Berlin,2013,Men,8,Koji Kobayashi,Japan,2:11:31,,,
Berlin,2013,Men,9,Rui Silva,Portugal,2:12:16,,,
Berlin,2013,Men,10,Sisay Jisa,Ethiopia,2:12:17,,,
Berlin,2013,Women,1,Florence Kiplagat,Kenya,2:21:13,,,
Berlin,2013,Women,2,Sharon Cherop,Kenya,2:22:28,,,
Berlin,2013,Women,3,Irina Mikitenko,Germany,2:24:54,,,
Berlin,2013,Women,4,Helah Kiprop,Kenya,2:28:02,,,
Berlin,2013,Women,5,Desiree Davila,United States,2:29:15,,,
Berlin,2013,Women,6,Vianey de la Rosa,Mexico,2:32:35,,,
Berlin,2013,Women,7,Eri Hayakawa,Japan,2:32:35,,,
Berlin,2013,Women,8,Nina Stöcker,Germany,2:37:46,,,
Berlin,2013,Women,9,Lizzi Lee,Ireland,2:38:09,,,
Berlin,2013,Women,10,Maria Yolanda Gutierrez,Spain,2:38:18,,,
Boston,2013,Men,1,Lelisa Desisa,Ethiopia,2:10:22,,,
Boston,2013,Men,2,Micah Kogo,Kenya,2:10:27,,,
Boston,2013,Men,3,Gebre Gebremariam,Ethiopia,2:10:28,,,
Boston,2013,Men,4,Jason Hartmann,United States,2:12:12,,,
Boston,2013,Men,5,Wesley Korir,Kenya,2:12:30,,,
Boston,2013,Men,6,Markos Geneti,Ethiopia,2:12:44,,,
Boston,2013,Men,7,Dickson Chumba,Kenya,2:14:08,,,
Boston,2013,Men,8,Jeffrey Hunt,Australia,2:14:28,,,
